"OPEN","CLOSE","HIGH","LOW","VOLUME","Date"
6190,6142,6196,6082,259996,"2012-05-10"
6110,6002,6115,6000,206804,"2012-05-11"
6040,5977,6045,5960,207668,"2012-05-14"
5895,5843,5910,5711,445150,"2012-05-15"
5750,5647,5786,5643,599186,"2012-05-16"
5705,5763,5787,5691,558246,"2012-05-17"
5808,5863,5881,5768,695576,"2012-05-18"
5957,5941,5964,5903,405766,"2012-05-21"
5920,5890,5930,5882,371088,"2012-05-22"
5800,5791,5818,5759,300170,"2012-05-23"
5785,5832,5838,5766,301270,"2012-05-24"
5858,5904,5912,5804,420278,"2012-05-25"
5940,5989,5992,5916,381418,"2012-05-28"
5933,5962,5982,5922,349920,"2012-05-29"
5817,5801,5855,5798,349610,"2012-05-30"
5836,5851,5878,5826,365958,"2012-05-31"
5800,5832,5840,5771,296984,"2012-06-01"
5923,5947,5998,5901,393532,"2012-06-04"
5954,5931,5985,5921,323394,"2012-06-05"
6001,6088,6092,5991,343846,"2012-06-06"
6145,6133,6154,6110,272726,"2012-06-07"
6005,5935,6023,5905,316480,"2012-06-08"
6054,6063,6099,6031,207094,"2012-06-11"
5992,5988,6038,5978,243702,"2012-06-12"
6050,6081,6083,6040,184636,"2012-06-13"
6068,6080,6128,6061,189246,"2012-06-14"
6050,6070,6085,6032,208546,"2012-06-15"
6087,6010,6095,6003,309918,"2012-06-18"
6058,6063,6080,6045,168258,"2012-06-19"
5996,6010,6029,5990,175782,"2012-06-20"
5900,5911,5925,5893,141540,"2012-06-21"
5700,5716,5742,5691,162514,"2012-06-25"
5830,5791,5830,5783,139496,"2012-06-26"
5767,5745,5771,5725,134318,"2012-06-27"
5778,5737,5782,5733,120318,"2012-06-28"
5651,5751,5764,5632,234654,"2012-06-29"
5831,5796,5835,5785,156980,"2012-07-02"
5820,5909,5915,5810,186102,"2012-07-03"
5952,5948,5979,5932,133860,"2012-07-04"
5960,5993,5995,5944,118224,"2012-07-05"
5929,5872,5932,5864,148200,"2012-07-06"
5790,5806,5832,5782,141584,"2012-07-09"
5813,5798,5834,5795,100886,"2012-07-10"
5755,5774,5780,5750,95358,"2012-07-11"
5774,5743,5779,5728,113558,"2012-07-12"
5770,5828,5830,5764,96844,"2012-07-13"
5810,5828,5834,5787,90630,"2012-07-16"
5845,5830,5877,5812,104858,"2012-07-17"
5835,5811,5838,5780,76038,"2012-07-18"
5815,5822,5828,5797,64602,"2012-07-19"
5809,5799,5811,5787,61744,"2012-07-20"
5845,5790,5845,5777,76106,"2012-07-23"
5796,5794,5822,5792,63916,"2012-07-24"
5784,5745,5817,5740,81420,"2012-07-25"
5840,5872,5886,5820,100676,"2012-07-26"
5862,5926,5932,5862,83740,"2012-07-27"
5923,5893,5925,5887,66076,"2012-07-30"
5978,6022,6044,5972,124084,"2012-07-31"
5965,5990,5992,5949,76542,"2012-08-01"
5880,5896,5910,5880,67152,"2012-08-02"
5866,5862,5868,5842,54240,"2012-08-03"
5970,5950,5972,5941,48632,"2012-08-06"
5966,5966,5974,5956,38914,"2012-08-07"
5999,5955,5999,5953,56720,"2012-08-08"
5988,6020,6022,5980,70034,"2012-08-09"
6005,5975,6006,5961,56594,"2012-08-10"
6004,5994,6024,5986,78452,"2012-08-13"
5974,5975,5980,5944,62094,"2012-08-14"
5961,5953,5969,5950,42428,"2012-08-15"
5969,5951,5978,5945,40694,"2012-08-16"
6016,6030,6037,6003,58038,"2012-08-17"
6000,6019,6034,5996,53440,"2012-08-20"
6100,6149,6158,6094,119104,"2012-08-21"
6208,6260,6266,6202,112388,"2012-08-22"
6337,6524,6565,6333,418584,"2012-08-23"
6518,6487,6548,6459,313806,"2012-08-24"
6588,6632,6708,6585,469970,"2012-08-27"
6551,6566,6575,6516,226954,"2012-08-28"
6569,6620,6624,6560,305838,"2012-08-29"
6580,6572,6587,6525,251916,"2012-08-30"
6500,6494,6504,6463,208992,"2012-08-31"
6731,6821,6849,6730,309066,"2012-09-03"
6900,6876,6932,6837,270772,"2012-09-04"
6869,6877,6904,6855,198896,"2012-09-05"
6900,7043,7072,6889,504852,"2012-09-06"
6986,6874,7006,6802,566630,"2012-09-07"
7182,7213,7272,7175,382854,"2012-09-10"
7170,7188,7195,7115,361810,"2012-09-11"
7200,7182,7220,7166,283692,"2012-09-12"
7109,7056,7123,7051,261508,"2012-09-13"
7450,7384,7506,7356,421404,"2012-09-14"
7399,7352,7405,7342,225840,"2012-09-17"
7275,7289,7295,7220,251114,"2012-09-18"
7374,7434,7438,7300,387928,"2012-09-19"
7367,7306,7405,7283,382430,"2012-09-20"
7396,7409,7419,7364,305904,"2012-09-21"
7254,7165,7258,7098,333096,"2012-09-24"
7215,7159,7220,7123,223366,"2012-09-25"
7120,7150,7193,7118,214708,"2012-09-26"
7175,7234,7237,7168,264536,"2012-09-27"
7370,7378,7405,7310,228456,"2012-09-28"
7256,7105,7264,7035,325632,"2012-10-08"
7135,7105,7163,7099,203646,"2012-10-09"
7050,7080,7091,7022,206778,"2012-10-10"
7058,7120,7140,7047,251396,"2012-10-11"
7094,7080,7143,7065,226352,"2012-10-12"
6880,6884,6924,6865,203468,"2012-10-15"
6822,6865,6873,6807,204062,"2012-10-16"
6900,6863,6906,6860,147290,"2012-10-17"
6871,6883,6915,6839,182880,"2012-10-18"
6832,6759,6848,6758,199004,"2012-10-19"
6667,6748,6749,6663,161366,"2012-10-22"
6747,6717,6770,6704,190176,"2012-10-23"
6682,6738,6739,6668,211926,"2012-10-24"
6730,6806,6833,6713,368806,"2012-10-25"
6801,6679,6829,6639,344532,"2012-10-26"
6768,6723,6780,6717,237754,"2012-10-29"
6710,6708,6724,6670,195374,"2012-10-30"
6705,6719,6730,6682,152548,"2012-10-31"
6804,6907,6914,6804,179018,"2012-11-01"
6852,6751,6860,6703,253004,"2012-11-02"
6579,6520,6606,6495,268620,"2012-11-05"
6552,6569,6580,6536,167174,"2012-11-06"
6671,6752,6785,6648,358528,"2012-11-07"
6656,6681,6712,6656,206396,"2012-11-08"
6750,6775,6809,6746,260120,"2012-11-09"
6835,6819,6848,6765,250436,"2012-11-12"
6725,6732,6741,6688,187190,"2012-11-13"
6800,6817,6818,6767,181166,"2012-11-14"
6775,6783,6809,6766,173356,"2012-11-15"
6785,6728,6796,6702,215134,"2012-11-16"
6745,6788,6805,6741,189336,"2012-11-19"
6867,6885,6907,6853,217976,"2012-11-20"
6879,6844,6879,6817,159218,"2012-11-21"
6913,6884,6938,6884,149390,"2012-11-22"
6888,6926,6933,6855,157372,"2012-11-23"
7014,7036,7045,6985,225798,"2012-11-26"
7058,7029,7073,7020,203696,"2012-11-27"
7005,6967,7012,6932,208008,"2012-11-28"
6940,6883,6944,6881,200980,"2012-11-29"
6960,6982,6990,6944,210346,"2012-11-30"
6880,6815,6880,6804,237572,"2012-12-03"
6801,6716,6801,6695,251742,"2012-12-04"
6671,6737,6743,6661,222312,"2012-12-05"
6709,6640,6718,6625,242694,"2012-12-06"
6704,6691,6722,6671,166690,"2012-12-07"
6716,6742,6756,6714,135466,"2012-12-10"
6712,6711,6714,6671,124306,"2012-12-11"
6684,6709,6724,6677,127032,"2012-12-12"
6720,6600,6720,6584,182696,"2012-12-13"
6785,6830,6870,6776,211004,"2012-12-14"
6780,6782,6841,6733,268520,"2012-12-17"
6805,6875,6881,6804,295256,"2012-12-18"
6744,6709,6750,6692,246968,"2012-12-19"
6609,6604,6629,6563,233014,"2012-12-20"
6388,6334,6393,6308,345726,"2012-12-21"
6350,6402,6418,6335,262284,"2012-12-24"
6350,6319,6380,6302,244038,"2012-12-25"
6335,6327,6355,6313,210776,"2012-12-26"
6331,6359,6396,6318,277800,"2012-12-27"
6393,6417,6443,6392,229654,"2012-12-28"
6438,6427,6458,6381,208232,"2012-12-31"
6306,6226,6307,6193,258306,"2013-01-04"
6330,6392,6433,6321,288146,"2013-01-07"
6418,6370,6420,6358,195804,"2013-01-08"
6416,6429,6438,6402,174856,"2013-01-09"
6398,6425,6427,6378,142460,"2013-01-10"
6490,6469,6515,6458,208206,"2013-01-11"
6419,6479,6492,6409,172922,"2013-01-14"
6555,6545,6592,6506,264694,"2013-01-15"
6630,6599,6632,6585,178166,"2013-01-16"
6612,6580,6612,6555,150812,"2013-01-17"
6632,6662,6665,6619,183110,"2013-01-18"
