"OPEN","CLOSE","HIGH","LOW","VOLUME","Date"
15570,15530,15595,15480,17506,"2006-02-20"
15450,15370,15450,15290,23036,"2006-02-21"
15290,15355,15370,15250,16988,"2006-02-22"
15380,15260,15385,15235,25546,"2006-02-23"
15250,15225,15260,15210,18222,"2006-02-24"
15205,15040,15205,15035,20348,"2006-02-27"
14800,14985,15010,14800,17360,"2006-02-28"
14995,14995,15040,14990,18746,"2006-03-01"
15000,14930,15000,14890,18186,"2006-03-02"
14860,14830,14880,14805,17088,"2006-03-03"
14650,14575,14650,14540,16978,"2006-03-06"
14700,14880,14890,14660,17602,"2006-03-07"
14830,14805,14855,14780,17092,"2006-03-08"
14810,14930,14935,14800,20662,"2006-03-09"
14930,14785,14980,14760,21400,"2006-03-10"
14850,14795,14860,14790,10884,"2006-03-13"
14600,14630,14650,14565,14774,"2006-03-14"
14760,14775,14815,14755,15958,"2006-03-15"
14910,14900,14920,14855,6470,"2006-03-16"
14860,14860,14885,14860,4594,"2006-03-17"
14700,14700,14745,14665,5206,"2006-03-20"
14650,14525,14650,14520,8212,"2006-03-21"
14500,14395,14520,14395,8424,"2006-03-22"
14300,14385,14420,14255,9506,"2006-03-23"
14460,14410,14460,14395,4716,"2006-03-24"
14405,14475,14480,14370,6482,"2006-03-27"
14485,14515,14530,14475,4646,"2006-03-28"
14490,14535,14540,14450,4052,"2006-03-29"
14550,14610,14610,14525,4946,"2006-03-30"
14650,14605,14660,14500,7850,"2006-03-31"
14525,14415,14540,14410,6334,"2006-04-03"
14440,14500,14510,14380,4306,"2006-04-04"
14490,14510,14535,14460,4152,"2006-04-05"
14600,14555,14630,14545,6316,"2006-04-06"
14530,14470,14545,14460,4308,"2006-04-07"
14495,14450,14510,14400,5390,"2006-04-10"
14350,14475,14495,14350,7206,"2006-04-11"
14410,14495,14515,14390,6232,"2006-04-12"
14490,14450,14500,14435,4132,"2006-04-13"
14440,14485,14495,14410,3630,"2006-04-14"
14705,14750,14750,14700,6022,"2006-04-19"
14740,14760,14790,14720,5238,"2006-04-20"
14650,14660,14730,14600,7628,"2006-04-21"
14660,14680,14710,14650,4246,"2006-04-24"
14620,14525,14635,14515,6596,"2006-04-25"
14475,14370,14475,14360,8280,"2006-04-26"
14435,14420,14435,14380,3830,"2006-04-27"
14315,14230,14345,14205,8776,"2006-04-28"
14190,14260,14260,14110,6542,"2006-05-08"
14300,14340,14355,14250,7062,"2006-05-09"
14360,14255,14370,14255,6950,"2006-05-10"
14195,14340,14400,14185,8076,"2006-05-11"
14430,14400,14450,14350,8332,"2006-05-12"
14460,14455,14495,14410,8634,"2006-05-15"
14380,14290,14395,14280,6438,"2006-05-16"
14320,14365,14380,14300,6616,"2006-05-17"
14300,14325,14345,14285,4622,"2006-05-18"
14250,14270,14275,14215,3972,"2006-05-19"
14185,14320,14325,14165,4408,"2006-05-22"
14300,14340,14360,14300,3378,"2006-05-23"
14500,14375,14500,14370,6722,"2006-05-24"
14350,14315,14365,14275,2744,"2006-05-25"
14600,14560,14620,14530,2122,"2006-05-26"
14590,14590,14615,14570,3630,"2006-05-29"
14580,14585,14590,14545,2098,"2006-05-30"
