"OPEN","CLOSE","HIGH","LOW","VOLUME","Date"
12780,12580,12625,12450,21556,"2007-07-31"
12650,12450,12650,12390,4728,"2007-08-01"
12410,12460,12490,12300,5116,"2007-08-02"
12440,12495,12560,12410,4810,"2007-08-03"
12420,12550,12670,12420,6480,"2007-08-06"
12455,12540,12570,12440,2600,"2007-08-07"
12540,12580,12640,12540,2124,"2007-08-08"
12575,12770,12795,12560,4630,"2007-08-09"
12710,12700,12850,12620,8224,"2007-08-10"
12745,12685,12780,12660,2740,"2007-08-13"
12665,12530,12680,12525,3116,"2007-08-14"
12530,12565,12600,12520,2166,"2007-08-15"
12595,12515,12620,12510,2528,"2007-08-16"
12480,12495,12555,12320,3214,"2007-08-17"
12480,12540,12555,12320,1294,"2007-08-20"
12480,12485,12520,12455,1562,"2007-08-21"
12500,12510,12510,12465,1660,"2007-08-22"
12520,12585,12595,12520,1528,"2007-08-23"
12550,12555,12565,12450,1154,"2007-08-24"
12525,12455,12525,12450,1808,"2007-08-27"
12510,12440,12510,12400,1688,"2007-08-28"
12430,12400,12430,12385,1706,"2007-08-29"
12480,12360,12480,12345,2076,"2007-08-30"
12360,12405,12410,12335,2494,"2007-08-31"
12420,12455,12480,12395,1988,"2007-09-03"
12425,12420,12495,12390,2728,"2007-09-04"
12450,12405,12450,12390,2294,"2007-09-05"
12430,12475,12500,12420,2938,"2007-09-06"
12490,12550,12670,12465,4562,"2007-09-07"
12545,12475,12605,12400,4354,"2007-09-10"
12510,12470,12545,12450,3738,"2007-09-11"
12515,12495,12515,12455,4610,"2007-09-12"
12510,12500,12590,12480,4352,"2007-09-13"
12485,12485,12505,12455,4748,"2007-09-14"
12440,12495,12495,12440,3856,"2007-09-17"
12550,12550,12590,12505,6654,"2007-09-18"
12590,12600,12620,12570,5834,"2007-09-19"
12595,12590,12600,12510,9494,"2007-09-20"
12610,12580,12615,12560,5954,"2007-09-21"
12595,12530,12600,12515,5190,"2007-09-24"
12500,12500,12525,12465,4356,"2007-09-25"
12495,12490,12515,12460,4924,"2007-09-26"
12520,12480,12520,12470,5062,"2007-09-27"
12500,12520,12520,12485,3720,"2007-09-28"
12520,12550,12600,12500,5346,"2007-10-08"
12500,12515,12545,12485,4252,"2007-10-09"
12530,12555,12580,12505,4242,"2007-10-10"
12595,12585,12595,12555,6432,"2007-10-11"
12600,12625,12740,12595,12472,"2007-10-12"
12650,12670,12685,12620,8636,"2007-10-15"
12700,12720,12760,12680,10532,"2007-10-16"
12725,12675,12780,12670,8736,"2007-10-17"
12635,12660,12675,12630,6272,"2007-10-18"
12700,12680,12700,12665,6664,"2007-10-19"
12625,12735,12740,12625,7644,"2007-10-22"
12730,12800,12850,12730,9818,"2007-10-23"
12780,12800,12815,12755,6554,"2007-10-24"
12830,12820,12835,12750,6496,"2007-10-25"
12850,12910,12920,12825,7954,"2007-10-26"
12960,13090,13105,12900,7804,"2007-10-29"
13090,13015,13090,12930,8684,"2007-10-30"
12930,13095,13155,12930,7764,"2007-10-31"
13185,13160,13230,13050,7112,"2007-11-01"
13100,13365,13375,13100,8938,"2007-11-02"
13400,13445,13480,13355,9622,"2007-11-05"
13475,13630,13640,13405,8632,"2007-11-06"
13685,13935,13985,13680,10520,"2007-11-07"
13860,13725,13930,13700,13750,"2007-11-08"
13750,13630,13820,13600,9364,"2007-11-09"
13590,13480,13640,13455,9100,"2007-11-12"
13455,13505,13610,13320,12468,"2007-11-13"
13400,13390,13430,13150,8826,"2007-11-14"
13455,13380,13545,13330,7176,"2007-11-15"
13380,13365,13480,13300,8470,"2007-11-16"
13455,13640,13665,13380,10168,"2007-11-19"
