"OPEN","CLOSE","HIGH","LOW","VOLUME","Date"
8350,8424,8424,8350,2098,"2007-10-29"
8700,8572,8700,8550,18646,"2007-10-30"
8502,8516,8554,8500,5142,"2007-10-31"
8700,8598,8700,8550,3222,"2007-11-01"
8550,8540,8564,8520,3304,"2007-11-02"
8550,8600,8628,8550,4428,"2007-11-05"
8596,8666,8670,8596,3726,"2007-11-06"
8730,8816,8878,8730,4184,"2007-11-07"
8760,8860,8898,8760,4490,"2007-11-08"
8860,8910,8948,8860,4764,"2007-11-09"
8910,8836,8930,8820,2406,"2007-11-12"
8780,8948,8970,8762,2842,"2007-11-13"
8950,8900,8960,8872,3498,"2007-11-14"
8900,8880,8930,8860,3592,"2007-11-15"
8824,8530,8888,8530,4872,"2007-11-16"
8748,8722,8798,8658,8460,"2007-11-19"
8688,8420,8688,8360,7378,"2007-11-20"
8500,8690,8692,8490,7118,"2007-11-21"
8700,8780,8798,8700,8644,"2007-11-22"
8760,8710,8776,8648,11516,"2007-11-23"
8770,8804,8866,8764,11676,"2007-11-26"
8760,8700,8760,8698,9636,"2007-11-27"
8632,8550,8656,8550,14248,"2007-11-28"
8576,8522,8600,8400,14088,"2007-11-29"
8698,8554,8698,8500,6584,"2007-11-30"
8748,8560,8748,8550,18444,"2007-12-03"
8598,8580,8664,8568,15670,"2007-12-04"
8586,8576,8636,8530,12412,"2007-12-05"
8552,8480,8552,8472,13278,"2007-12-06"
8520,8558,8560,8428,13962,"2007-12-07"
8532,8522,8566,8492,14402,"2007-12-10"
8502,8576,8608,8502,18592,"2007-12-11"
8588,8518,8588,8500,15662,"2007-12-12"
8592,8710,8874,8560,15740,"2007-12-13"
8650,8712,8728,8650,14406,"2007-12-14"
8748,8786,8798,8722,7196,"2007-12-17"
8786,8680,8786,8680,17510,"2007-12-18"
8650,8786,8816,8650,15608,"2007-12-19"
8808,8750,8808,8742,17482,"2007-12-20"
8752,8818,8840,8710,15848,"2007-12-21"
8798,8996,9034,8770,18810,"2007-12-24"
9044,9016,9044,8956,17068,"2007-12-25"
9040,9246,9248,9020,22664,"2007-12-26"
9258,9300,9486,9258,18712,"2007-12-27"
9300,9298,9410,9208,18694,"2007-12-28"
9300,9298,9410,9208,18694,"2007-12-31"
9300,9298,9410,9208,18694,"2008-01-01"
9300,9296,9360,9244,25098,"2008-01-02"
9380,9424,9536,9380,27024,"2008-01-03"
9450,9434,9496,9410,26854,"2008-01-04"
9420,9448,9514,9404,27720,"2008-01-07"
9470,9470,9504,9408,30842,"2008-01-08"
9530,9576,9580,9450,24082,"2008-01-09"
9510,9630,9670,9510,27232,"2008-01-10"
9630,9842,9880,9630,28108,"2008-01-11"
9988,10128,10128,9950,12548,"2008-01-14"
10280,10252,10296,10080,25506,"2008-01-15"
10244,10070,10248,9968,23040,"2008-01-16"
10020,10244,10246,9968,23590,"2008-01-17"
10180,9930,10198,9882,24966,"2008-01-18"
9950,9970,10036,9902,25542,"2008-01-21"
9700,9576,9716,9576,19906,"2008-01-22"
9604,9484,9648,9438,31688,"2008-01-23"
9138,9362,9380,9138,24582,"2008-01-24"
9474,9586,9628,9474,17282,"2008-01-25"
9580,9562,9638,9526,31636,"2008-01-28"
9658,9716,9720,9606,31976,"2008-01-29"
9726,9758,9836,9690,33588,"2008-01-31"
9848,9798,9888,9790,38786,"2008-02-01"
9860,9918,9962,9750,34740,"2008-02-04"
10050,10228,10228,10002,8466,"2008-02-05"
10150,10268,10348,10150,46260,"2008-02-13"
10300,10442,10482,10300,45904,"2008-02-14"
10610,10718,10818,10610,49080,"2008-02-15"
10748,10810,11088,10718,46376,"2008-02-18"
10868,10820,10918,10580,51256,"2008-02-19"
10858,10860,10940,10750,51094,"2008-02-20"
10960,11076,11120,10912,64452,"2008-02-21"
11030,11054,11120,10930,54214,"2008-02-22"
11288,11506,11506,11260,16668,"2008-02-25"
11560,11352,11850,11150,28214,"2008-02-26"
11580,11756,11940,11580,29760,"2008-02-27"
11798,11680,11880,11600,34502,"2008-02-28"
11900,12152,12152,11762,64338,"2008-02-29"
12320,12512,12512,12320,5144,"2008-03-03"
12992,12510,12992,11996,39488,"2008-03-04"
12098,12094,12200,12094,7682,"2008-03-05"
12100,12166,12388,11700,61410,"2008-03-06"
11648,11648,11850,11648,6220,"2008-03-07"
11194,11194,11194,11194,150,"2008-03-10"
11028,11296,11426,11028,47680,"2008-03-11"
11360,10970,11418,10808,52028,"2008-03-12"
11120,11270,11418,10900,44768,"2008-03-13"
11250,11236,11350,11100,46522,"2008-03-14"
10786,10786,10890,10786,24682,"2008-03-17"
10378,10378,10378,10378,704,"2008-03-18"
10000,10180,10444,10000,53456,"2008-03-19"
9774,9898,9996,9774,6648,"2008-03-20"
9770,9830,9946,9752,10332,"2008-03-21"
9900,10252,10260,9900,45132,"2008-03-24"
10458,10380,10576,10082,59214,"2008-03-25"
10750,10676,10750,10452,55876,"2008-03-26"
10626,10544,10708,10522,61882,"2008-03-27"
10618,10530,10630,10478,25212,"2008-03-28"
10456,10454,10500,10190,53102,"2008-03-31"
9582,9582,9582,9582,524,"2008-04-01"
9612,9672,9890,9402,26352,"2008-04-02"
10000,9850,10044,9818,24786,"2008-04-03"
10000,9850,10044,9818,24786,"2008-04-04"
9980,10202,10226,9928,4976,"2008-04-07"
10250,10280,10342,10240,5288,"2008-04-08"
10060,10144,10176,10020,4676,"2008-04-09"
10350,10210,10430,10112,4784,"2008-04-10"
10302,10198,10310,10182,3904,"2008-04-11"
10198,10600,10736,10140,5128,"2008-04-14"
10690,10956,10956,10670,6784,"2008-04-15"
11054,10790,11054,10706,36116,"2008-04-16"
10750,10818,10880,10604,26666,"2008-04-17"
10720,10794,10916,10704,33720,"2008-04-18"
10794,10296,10794,10280,5878,"2008-04-21"
10158,10380,10426,10158,3928,"2008-04-22"
10600,10700,10700,10552,3160,"2008-04-23"
10602,10524,10640,10510,32122,"2008-04-24"
10282,10308,10368,10282,22140,"2008-04-25"
10274,10412,10434,10274,25080,"2008-04-28"
10276,10160,10278,10018,29806,"2008-04-29"
10150,10170,10200,10064,5140,"2008-04-30"
10150,10170,10200,10064,5140,"2008-05-01"
10150,10170,10200,10064,5140,"2008-05-02"
10182,10170,10216,10120,54676,"2008-05-05"
10210,10298,10348,10188,48256,"2008-05-06"
10290,10170,10366,10160,46890,"2008-05-07"
10270,10308,10350,10226,37232,"2008-05-08"
10408,10272,10408,10246,43872,"2008-05-09"
10408,10720,10780,10408,44138,"2008-05-12"
10678,10610,10700,10582,46130,"2008-05-13"
10740,10790,10840,10662,18718,"2008-05-14"
10720,10600,10738,10402,17608,"2008-05-15"
10580,10592,10650,10504,43282,"2008-05-16"
10688,10538,10710,10522,26932,"2008-05-19"
10400,10440,10496,10380,3510,"2008-05-20"
10000,10452,10488,10000,10128,"2008-05-21"
10600,10492,10880,10460,13100,"2008-05-22"
10400,10466,10466,10256,9188,"2008-05-23"
10600,10590,10710,10508,14006,"2008-05-26"
10648,10686,10848,10582,15980,"2008-05-27"
10558,10580,10648,10490,17662,"2008-05-28"
10586,10562,10650,10540,12532,"2008-05-29"
10400,10304,10440,10258,10692,"2008-05-30"
10450,10410,10478,10382,7024,"2008-06-02"
10382,10420,10460,10382,7214,"2008-06-03"
10366,10372,10426,10350,8598,"2008-06-04"
10420,10412,10456,10360,6754,"2008-06-05"
10700,10624,10800,10586,11764,"2008-06-06"
10700,10624,10800,10586,11764,"2008-06-09"
10700,10690,10750,10674,14060,"2008-06-10"
10602,10832,10930,10578,8074,"2008-06-11"
11000,10932,11180,10812,10846,"2008-06-12"
11000,11068,11230,10892,14374,"2008-06-13"
11198,11084,11254,11044,13942,"2008-06-16"
10980,10798,10980,10722,18130,"2008-06-17"
10822,10774,10968,10774,15640,"2008-06-18"
10790,10720,10838,10690,12290,"2008-06-19"
