"OPEN","CLOSE","HIGH","LOW","VOLUME","Date"
3550,3561,3663,3513,354590,"2009-03-27"
3550,3544,3580,3528,145168,"2009-03-30"
3538,3549,3566,3531,70592,"2009-03-31"
3560,3547,3561,3543,28100,"2009-04-01"
3545,3473,3548,3456,235446,"2009-04-02"
3481,3448,3481,3436,152376,"2009-04-03"
3410,3491,3518,3410,242578,"2009-04-07"
3480,3463,3491,3456,147288,"2009-04-08"
3476,3468,3486,3460,87688,"2009-04-09"
3483,3484,3499,3470,120978,"2009-04-10"
3485,3469,3493,3464,109820,"2009-04-13"
3475,3560,3600,3469,540646,"2009-04-14"
3570,3562,3590,3550,255606,"2009-04-15"
3582,3596,3628,3570,250464,"2009-04-16"
3594,3620,3648,3581,339250,"2009-04-17"
3620,3623,3648,3608,259196,"2009-04-20"
3580,3524,3590,3486,332448,"2009-04-21"
3550,3526,3566,3508,168524,"2009-04-22"
3529,3513,3531,3488,130386,"2009-04-23"
3513,3501,3522,3497,101444,"2009-04-24"
3510,3499,3520,3492,102472,"2009-04-27"
3496,3507,3515,3496,96548,"2009-04-28"
3507,3520,3520,3503,102694,"2009-04-29"
3536,3553,3575,3523,246912,"2009-04-30"
3573,3636,3660,3571,574332,"2009-05-04"
3636,3577,3644,3570,175954,"2009-05-05"
3578,3594,3598,3573,103788,"2009-05-06"
3628,3593,3630,3591,150420,"2009-05-07"
3599,3614,3616,3589,103620,"2009-05-08"
3615,3639,3678,3606,335082,"2009-05-11"
3645,3645,3660,3630,193634,"2009-05-12"
3655,3639,3657,3634,118636,"2009-05-13"
3616,3594,3620,3590,139572,"2009-05-14"
3600,3604,3618,3596,132292,"2009-05-15"
3595,3608,3612,3581,104746,"2009-05-18"
3630,3618,3630,3611,95620,"2009-05-19"
3616,3618,3644,3612,118774,"2009-05-20"
3620,3624,3642,3618,117628,"2009-05-21"
3619,3618,3627,3608,60222,"2009-05-22"
3629,3609,3629,3600,95810,"2009-05-25"
3609,3601,3620,3596,114194,"2009-05-26"
3628,3610,3628,3606,46518,"2009-05-27"
3630,3647,3657,3622,193008,"2009-06-01"
3660,3655,3682,3652,199128,"2009-06-02"
3659,3670,3672,3656,105466,"2009-06-03"
3650,3700,3712,3645,370954,"2009-06-04"
3721,3756,3778,3720,267786,"2009-06-05"
3755,3788,3793,3747,293778,"2009-06-08"
3797,3779,3807,3768,214676,"2009-06-09"
3792,3808,3813,3774,238210,"2009-06-10"
3810,3878,3940,3807,634152,"2009-06-11"
3888,3864,3928,3835,588842,"2009-06-12"
3855,3849,3877,3823,366022,"2009-06-15"
3829,3865,3882,3828,358246,"2009-06-16"
3861,3852,3878,3841,212522,"2009-06-17"
3852,3842,3865,3830,188838,"2009-06-18"
3852,3907,3920,3846,556782,"2009-06-19"
3908,3919,3936,3900,486210,"2009-06-22"
3898,3881,3900,3835,481544,"2009-06-23"
3888,3870,3897,3858,278854,"2009-06-24"
3862,3866,3888,3858,281842,"2009-06-25"
3870,3854,3887,3846,370288,"2009-06-26"
3846,3829,3853,3823,269442,"2009-06-29"
3832,3826,3840,3817,195086,"2009-06-30"
3826,3839,3845,3820,204968,"2009-07-01"
3856,3867,3878,3845,270952,"2009-07-02"
3867,3859,3883,3858,255284,"2009-07-03"
3858,3866,3874,3855,124140,"2009-07-06"
3876,3870,3880,3864,75408,"2009-07-07"
3861,3850,3870,3837,91018,"2009-07-08"
3841,3865,3868,3841,54998,"2009-07-09"
3876,3900,3912,3876,187346,"2009-07-10"
3911,3916,3933,3906,176378,"2009-07-13"
3932,3927,3937,3916,139702,"2009-07-14"
3936,4002,4005,3935,325300,"2009-07-15"
4010,4034,4049,3993,343434,"2009-07-16"
4035,4007,4043,3999,240664,"2009-07-17"
4016,4029,4031,4006,236266,"2009-07-20"
4038,4034,4045,4014,257934,"2009-07-21"
4044,4072,4088,4036,385238,"2009-07-22"
4088,4122,4124,4076,374508,"2009-07-23"
4125,4184,4198,4120,491822,"2009-07-24"
4198,4236,4258,4178,703260,"2009-07-27"
4235,4331,4336,4218,804126,"2009-07-28"
4333,4392,4416,4304,1523852,"2009-07-29"
4410,4444,4449,4361,1242210,"2009-07-30"
4482,4627,4627,4455,1169890,"2009-07-31"
4777,4857,4857,4730,780966,"2009-08-03"
4950,4841,4968,4814,1215952,"2009-08-04"
4870,4875,4950,4820,1873192,"2009-08-05"
4865,4853,4899,4810,1621836,"2009-08-06"
4837,4653,4854,4631,2229450,"2009-08-07"
4658,4642,4725,4556,2447234,"2009-08-10"
4618,4658,4675,4603,1560460,"2009-08-11"
4645,4591,4662,4564,1695626,"2009-08-12"
4621,4617,4679,4602,1571528,"2009-08-13"
4620,4512,4640,4461,1802234,"2009-08-14"
4443,4436,4537,4365,2215634,"2009-08-17"
4475,4416,4499,4392,1939468,"2009-08-18"
4400,4219,4414,4219,2016294,"2009-08-19"
4240,4283,4317,4131,3422102,"2009-08-20"
4270,4334,4426,4245,3726314,"2009-08-21"
4451,4323,4462,4306,2943276,"2009-08-24"
4280,4240,4280,4181,2379552,"2009-08-25"
4210,4269,4296,4202,2537210,"2009-08-26"
4250,4271,4312,4223,2480188,"2009-08-27"
4288,4272,4333,4250,2079554,"2009-08-28"
4280,4120,4291,4103,1533870,"2009-08-31"
4098,4075,4127,4054,2298522,"2009-09-01"
4020,4032,4079,4011,2495062,"2009-09-02"
4041,4049,4075,4003,2692972,"2009-09-03"
4055,4031,4068,4015,2149974,"2009-09-04"
4018,3919,4018,3908,2319506,"2009-09-07"
3898,3944,3959,3880,2940662,"2009-09-08"
3960,4044,4048,3955,3511382,"2009-09-09"
4060,4007,4078,4003,3042352,"2009-09-10"
4000,3972,4025,3957,2300404,"2009-09-11"
3927,3973,3975,3900,2204152,"2009-09-14"
3993,3967,3996,3951,2442764,"2009-09-15"
3985,4036,4040,3966,2972124,"2009-09-16"
4050,3990,4065,3990,2894650,"2009-09-17"
3981,3973,3997,3937,2542940,"2009-09-18"
3970,3989,4007,3961,2124888,"2009-09-21"
3977,3956,3989,3953,1579692,"2009-09-22"
3958,3891,3964,3890,1982280,"2009-09-23"
3881,3854,3882,3813,1994462,"2009-09-24"
3830,3825,3847,3811,1428766,"2009-09-25"
3812,3659,3815,3637,1576644,"2009-09-28"
3690,3749,3757,3666,1295222,"2009-09-29"
3749,3735,3772,3709,1001550,"2009-09-30"
3760,3674,3795,3673,1369966,"2009-10-09"
3634,3695,3700,3610,2780278,"2009-10-12"
3690,3665,3707,3657,3021334,"2009-10-13"
3655,3678,3693,3652,1978512,"2009-10-14"
3679,3756,3758,3678,3455848,"2009-10-15"
3761,3829,3829,3760,3382296,"2009-10-16"
3830,3865,3961,3830,4873370,"2009-10-19"
3880,3842,3899,3810,4400712,"2009-10-20"
3838,3887,3894,3826,4327680,"2009-10-21"
3920,3855,3940,3854,3798008,"2009-10-22"
3860,3891,3912,3855,3262858,"2009-10-23"
3898,4001,4005,3898,3803970,"2009-10-26"
3988,3971,4014,3952,4219748,"2009-10-27"
3968,3865,3968,3858,3985220,"2009-10-28"
3820,3835,3854,3787,3560734,"2009-10-29"
3879,3875,3895,3845,3493144,"2009-10-30"
3843,3910,3916,3828,3874360,"2009-11-02"
3910,3881,3940,3876,3823694,"2009-11-03"
3886,3889,3903,3866,2265846,"2009-11-04"
4003,4015,4026,3990,1510032,"2009-11-05"
4020,4064,4065,4020,2115116,"2009-11-06"
4065,4110,4125,4055,2741108,"2009-11-09"
4128,4081,4144,4078,4093486,"2009-11-10"
4094,4066,4114,4060,3384350,"2009-11-11"
4074,4048,4085,4033,2801338,"2009-11-12"
4031,4069,4071,4007,3108858,"2009-11-13"
4071,4057,4085,4051,2375782,"2009-11-16"
4075,4040,4079,4033,1720030,"2009-11-17"
4046,4045,4053,4029,1227332,"2009-11-18"
4038,4115,4137,4035,2827416,"2009-11-19"
4130,4109,4156,4086,2400314,"2009-11-20"
4122,4186,4193,4117,2460280,"2009-11-23"
4170,4118,4198,4092,2614316,"2009-11-24"
4129,4129,4140,4103,1586646,"2009-11-25"
4528,4494,4572,4461,1769590,"2009-11-26"
4463,4286,4470,4286,2608656,"2009-11-27"
4336,4375,4404,4322,3268228,"2009-11-30"
4390,4367,4408,4331,2929698,"2009-12-01"
4388,4377,4409,4361,2660750,"2009-12-02"
4383,4385,4396,4366,2102022,"2009-12-03"
4368,4374,4381,4336,2500528,"2009-12-04"
4354,4373,4395,4354,1983820,"2009-12-07"
4380,4318,4385,4288,2779118,"2009-12-08"
4284,4267,4290,4246,1871676,"2009-12-09"
4267,4334,4337,4250,3354396,"2009-12-10"
4350,4396,4401,4350,3160862,"2009-12-11"
4400,4430,4433,4331,2822038,"2009-12-14"
4430,4394,4438,4384,2688256,"2009-12-15"
4387,4395,4419,4370,1575740,"2009-12-16"
4415,4386,4431,4375,1735560,"2009-12-17"
4350,4379,4389,4349,1061746,"2009-12-18"
4389,4418,4418,4372,1170240,"2009-12-21"
4411,4405,4438,4403,1933556,"2009-12-22"
4410,4408,4427,4393,1166438,"2009-12-23"
