"OPEN","CLOSE","HIGH","LOW","VOLUME","Date"
5537,5578,5616,5526,28300,"2006-02-20"
5631,5701,5710,5535,44782,"2006-02-21"
5700,5767,5813,5666,96272,"2006-02-22"
5850,5680,5880,5666,106372,"2006-02-23"
5549,5550,5630,5549,68856,"2006-02-24"
5595,5431,5595,5430,73610,"2006-02-27"
5293,5293,5332,5293,37680,"2006-02-28"
5350,5150,5389,5140,100676,"2006-03-01"
5130,5276,5293,5125,107750,"2006-03-02"
5281,5330,5335,5255,110584,"2006-03-03"
5349,5322,5386,5281,105108,"2006-03-06"
5374,5229,5397,5212,143748,"2006-03-07"
5200,5117,5216,5100,118248,"2006-03-08"
5052,5151,5168,5023,136790,"2006-03-09"
5100,5106,5158,5060,153960,"2006-03-10"
5148,5109,5148,5090,86158,"2006-03-13"
5132,5063,5137,5052,79334,"2006-03-14"
5048,5055,5097,5037,95048,"2006-03-15"
5070,5143,5147,5050,133418,"2006-03-16"
5128,5219,5235,5104,143092,"2006-03-17"
5190,5081,5250,5056,187560,"2006-03-20"
5100,5110,5142,5053,161424,"2006-03-21"
5158,5210,5229,5155,162930,"2006-03-22"
5169,5146,5179,5120,99436,"2006-03-23"
4919,4992,4998,4919,88894,"2006-03-24"
5063,5069,5098,5028,93744,"2006-03-27"
5113,5044,5127,5035,108198,"2006-03-28"
5105,5104,5165,5082,116034,"2006-03-29"
5110,5050,5113,5048,109910,"2006-03-30"
5060,5071,5083,5026,89438,"2006-03-31"
5027,4911,5040,4890,107400,"2006-04-03"
4950,4964,4985,4922,105990,"2006-04-04"
4912,4822,4924,4779,106424,"2006-04-05"
4828,4840,4860,4798,92794,"2006-04-06"
4830,4816,4850,4805,49364,"2006-04-07"
4718,4644,4735,4637,70596,"2006-04-10"
4620,4670,4676,4618,67610,"2006-04-11"
4668,4737,4750,4653,77592,"2006-04-12"
4698,4586,4698,4574,96110,"2006-04-13"
4555,4518,4571,4511,87460,"2006-04-14"
4860,4875,4883,4848,89788,"2006-04-19"
4811,4760,4826,4755,87964,"2006-04-20"
