"OPEN","CLOSE","HIGH","LOW","VOLUME","Date"
8860,8906,8958,8806,49070,"2006-12-19"
8944,8958,8970,8906,25586,"2006-12-20"
8940,8912,8948,8884,19414,"2006-12-21"
8904,8924,8928,8824,9954,"2006-12-22"
8918,9098,9140,8912,34790,"2006-12-25"
9120,9158,9166,9062,37246,"2006-12-26"
9082,9016,9126,9008,35680,"2006-12-27"
9000,8856,8896,8850,31982,"2006-12-28"
8850,8898,8934,8780,32032,"2006-12-29"
8690,8734,8772,8530,34012,"2007-01-04"
8660,8782,8804,8612,39672,"2007-01-05"
8806,8746,8838,8738,36112,"2007-01-08"
8726,8776,8820,8714,31030,"2007-01-09"
8790,8744,8814,8740,30790,"2007-01-10"
8690,8730,8782,8690,22192,"2007-01-11"
8720,8670,8752,8646,18030,"2007-01-12"
8720,8696,8770,8680,15790,"2007-01-15"
8700,8626,8740,8616,18982,"2007-01-16"
8584,8490,8636,8472,24356,"2007-01-17"
8530,8376,8530,8356,31146,"2007-01-18"
8344,8340,8382,8254,46434,"2007-01-19"
8370,8130,8386,8102,60500,"2007-01-22"
8060,8162,8186,8056,59258,"2007-01-23"
8220,8254,8312,8180,54764,"2007-01-24"
8258,8260,8292,8214,34288,"2007-01-25"
8252,8282,8290,8232,20720,"2007-01-26"
8306,8214,8336,8200,30214,"2007-01-29"
8170,8184,8216,8112,29624,"2007-01-30"
8280,8272,8314,8238,28588,"2007-01-31"
8280,8300,8318,8266,25678,"2007-02-01"
8280,8202,8350,8198,40384,"2007-02-02"
8250,8188,8268,8156,33256,"2007-02-05"
8180,8230,8248,8180,23772,"2007-02-06"
8248,8284,8298,8224,26354,"2007-02-07"
8246,8262,8294,8218,27676,"2007-02-08"
8300,8318,8380,8292,42568,"2007-02-09"
8282,8348,8354,8280,26526,"2007-02-12"
8302,8340,8354,8302,12760,"2007-02-13"
8302,8446,8454,8302,45670,"2007-02-14"
8420,8422,8446,8398,20394,"2007-02-15"
8420,8438,8440,8402,8254,"2007-02-16"
8500,8432,8550,8420,27276,"2007-02-26"
8414,8416,8444,8384,14760,"2007-02-27"
8372,8422,8432,8342,12848,"2007-02-28"
8452,8480,8484,8416,15096,"2007-03-01"
8470,8536,8540,8462,20208,"2007-03-02"
8500,8478,8530,8454,14890,"2007-03-05"
8466,8498,8498,8440,8448,"2007-03-06"
8500,8504,8530,8484,6416,"2007-03-07"
8530,8498,8530,8480,9336,"2007-03-08"
8490,8450,8500,8426,9674,"2007-03-09"
8430,8386,8450,8364,17350,"2007-03-12"
8400,8394,8424,8382,10530,"2007-03-13"
8384,8380,8398,8348,9498,"2007-03-14"
8390,8380,8410,8380,6878,"2007-03-15"
8356,8384,8386,8330,8728,"2007-03-16"
8388,8380,8414,8366,8786,"2007-03-19"
8388,8366,8388,8350,7246,"2007-03-20"
