"OPEN","CLOSE","HIGH","LOW","VOLUME","Date"
6575,6490,6630,6435,107764,"2009-05-25"
6485,6460,6540,6445,38290,"2009-05-26"
6500,6485,6535,6460,34002,"2009-05-27"
6555,6570,6595,6520,26178,"2009-06-01"
6590,6555,6590,6545,13496,"2009-06-02"
6565,6580,6595,6550,14680,"2009-06-03"
6620,6635,6905,6605,12580,"2009-06-04"
6590,6655,6695,6575,19864,"2009-06-05"
6650,6970,6970,6620,107348,"2009-06-08"
7020,7040,7160,6910,354866,"2009-06-09"
7120,6990,7130,6955,212152,"2009-06-10"
7025,6930,7050,6930,104918,"2009-06-11"
6955,6820,6970,6790,142654,"2009-06-12"
6800,6855,6910,6755,109950,"2009-06-15"
6805,6850,6890,6800,63206,"2009-06-16"
6830,6940,6990,6800,203342,"2009-06-17"
6965,6945,7085,6910,220516,"2009-06-18"
6970,6915,7015,6890,112430,"2009-06-19"
6850,6815,6930,6815,97436,"2009-06-22"
6755,6770,6810,6715,87904,"2009-06-23"
6795,6770,6795,6715,48840,"2009-06-24"
6770,6830,6865,6750,70950,"2009-06-25"
6880,6885,6920,6825,55012,"2009-06-26"
6865,6775,6865,6770,37896,"2009-06-29"
6820,6885,6915,6800,69850,"2009-06-30"
6855,6855,6905,6820,46090,"2009-07-01"
6830,6830,6895,6815,45880,"2009-07-02"
6800,6855,6880,6770,59916,"2009-07-03"
6850,6870,6955,6840,87866,"2009-07-06"
6890,6925,6930,6880,39946,"2009-07-07"
6890,6870,6905,6845,27928,"2009-07-08"
6840,6865,6870,6815,27212,"2009-07-09"
6880,6880,6985,6865,86988,"2009-07-10"
6905,6845,6910,6840,40486,"2009-07-13"
6870,6860,6880,6840,22902,"2009-07-14"
6870,6930,6950,6850,58720,"2009-07-15"
6955,6930,7000,6890,55580,"2009-07-16"
6945,7000,7030,6930,105350,"2009-07-17"
7030,7005,7075,6990,73896,"2009-07-20"
7010,6905,7010,6860,55648,"2009-07-21"
6905,6875,6945,6865,38210,"2009-07-22"
6900,6895,6915,6845,31614,"2009-07-23"
6900,6905,6935,6880,27964,"2009-07-24"
7075,7245,7260,7050,87918,"2009-07-27"
7245,7270,7340,7195,110316,"2009-07-28"
7250,7220,7360,7155,123436,"2009-07-29"
7200,7490,7495,7185,368264,"2009-07-30"
7560,7660,7750,7520,302370,"2009-07-31"
7745,7740,7865,7550,427592,"2009-08-03"
7755,7520,7815,7390,460706,"2009-08-04"
7600,7520,7670,7460,314518,"2009-08-05"
7550,7735,7785,7505,624918,"2009-08-06"
7705,7570,7825,7540,598962,"2009-08-07"
7575,7675,7740,7555,519024,"2009-08-10"
7645,7930,8025,7635,878176,"2009-08-11"
7930,7785,8035,7765,601154,"2009-08-12"
7900,7875,7990,7815,443842,"2009-08-13"
7920,7670,7950,7635,604792,"2009-08-14"
7505,7345,7540,7345,202266,"2009-08-17"
7345,7330,7410,7255,366852,"2009-08-18"
7420,7155,7425,7015,328990,"2009-08-19"
7290,7260,7315,7130,296564,"2009-08-20"
7200,7255,7380,7170,321852,"2009-08-21"
7440,7380,7510,7240,254770,"2009-08-24"
7310,7230,7360,7185,232694,"2009-08-25"
7170,7230,7295,7160,147828,"2009-08-26"
7220,7235,7305,7180,190010,"2009-08-27"
7300,7265,7325,7240,150384,"2009-08-28"
7295,7120,7295,7100,165344,"2009-08-31"
7125,7035,7140,6980,176330,"2009-09-01"
7000,6925,7000,6820,212986,"2009-09-02"
6945,7015,7045,6865,178940,"2009-09-03"
6985,7015,7065,6955,141990,"2009-09-04"
7010,6955,7050,6945,143148,"2009-09-07"
6935,6895,6950,6825,154176,"2009-09-08"
6950,6970,7015,6915,131388,"2009-09-09"
6950,6930,6985,6905,81348,"2009-09-10"
