"OPEN","CLOSE","HIGH","LOW","VOLUME","Date"
5110,5136,5144,5102,49354,"2006-02-22"
5090,5104,5130,5086,53382,"2006-02-23"
5112,5202,5236,5112,69788,"2006-02-24"
5180,5150,5194,5136,59806,"2006-02-27"
5182,5174,5220,5166,59092,"2006-02-28"
5230,5268,5290,5196,123126,"2006-03-01"
5284,5268,5308,5252,96778,"2006-03-02"
5318,5296,5346,5284,90884,"2006-03-03"
5280,5238,5282,5238,69708,"2006-03-06"
5250,5238,5278,5226,87036,"2006-03-07"
5204,5220,5228,5196,77646,"2006-03-08"
5200,5236,5236,5192,65744,"2006-03-09"
5228,5206,5252,5204,74606,"2006-03-10"
5212,5232,5246,5204,85174,"2006-03-13"
5206,5216,5230,5202,96166,"2006-03-14"
5228,5222,5240,5218,105112,"2006-03-15"
5220,5210,5220,5200,103994,"2006-03-16"
5196,5172,5202,5170,94770,"2006-03-17"
5172,5186,5190,5170,92036,"2006-03-20"
5166,5150,5172,5140,79030,"2006-03-21"
5150,5162,5172,5148,85730,"2006-03-22"
5150,5154,5156,5142,107694,"2006-03-23"
5162,5168,5184,5162,93440,"2006-03-24"
5148,5166,5174,5148,90424,"2006-03-27"
5166,5148,5168,5146,98624,"2006-03-28"
5164,5154,5166,5150,91614,"2006-03-29"
5160,5150,5160,5132,103454,"2006-03-30"
5170,5156,5180,5148,124542,"2006-03-31"
5108,5112,5118,5074,114478,"2006-04-03"
5086,5092,5110,5086,96118,"2006-04-04"
5086,5092,5098,5078,104764,"2006-04-05"
5096,5076,5104,5076,109066,"2006-04-06"
5084,5036,5084,5018,98068,"2006-04-07"
5022,4996,5022,4994,120882,"2006-04-10"
5000,5028,5046,4996,134958,"2006-04-11"
5040,5036,5042,5026,128020,"2006-04-12"
5004,5020,5028,5004,127494,"2006-04-13"
5030,5032,5038,5022,117772,"2006-04-14"
5076,5078,5080,5068,123438,"2006-04-19"
5108,5078,5108,5070,111486,"2006-04-20"
5080,5054,5080,5050,106772,"2006-04-21"
5098,5124,5146,5080,120764,"2006-04-24"
5096,5122,5130,5090,111928,"2006-04-25"
5140,5130,5154,5104,111612,"2006-04-26"
5120,5120,5150,5116,116548,"2006-04-27"
5150,5178,5184,5134,99118,"2006-04-28"
5160,5152,5184,5140,107388,"2006-05-08"
5120,5166,5174,5120,106160,"2006-05-09"
5152,5190,5210,5152,101356,"2006-05-10"
5186,5256,5268,5186,65158,"2006-05-11"
5302,5246,5340,5230,102206,"2006-05-12"
5260,5250,5268,5216,100622,"2006-05-15"
5160,5180,5220,5152,118706,"2006-05-16"
5220,5236,5280,5202,96900,"2006-05-17"
5230,5216,5230,5176,115470,"2006-05-18"
5182,5210,5212,5182,88356,"2006-05-19"
5170,5160,5180,5154,86926,"2006-05-22"
5170,5184,5198,5170,104614,"2006-05-23"
5210,5218,5236,5194,96954,"2006-05-24"
5182,5204,5208,5180,96032,"2006-05-25"
5228,5222,5230,5202,94244,"2006-05-26"
5222,5262,5272,5204,87456,"2006-05-29"
5250,5246,5268,5228,93812,"2006-05-30"
5246,5232,5264,5232,95316,"2006-05-31"
5226,5194,5226,5160,88444,"2006-06-01"
5200,5202,5224,5182,95300,"2006-06-02"
5258,5246,5260,5230,84392,"2006-06-05"
5238,5226,5238,5032,85982,"2006-06-06"
5264,5310,5310,5264,79704,"2006-06-07"
5290,5274,5296,5272,74230,"2006-06-08"
5252,5266,5296,5236,68152,"2006-06-09"
5218,5188,5218,5164,60134,"2006-06-12"
5300,5266,5300,5260,44332,"2006-06-13"
5250,5212,5250,5204,51046,"2006-06-14"
5120,5130,5146,5120,48892,"2006-06-15"
5220,5222,5234,5214,52560,"2006-06-16"
5190,5204,5216,5190,48802,"2006-06-19"
5102,5124,5138,5102,60498,"2006-06-20"
5188,5192,5200,5170,52746,"2006-06-21"
5206,5202,5220,5190,41734,"2006-06-22"
5150,5138,5150,5126,56918,"2006-06-23"
5130,5130,5140,5126,46776,"2006-06-26"
5122,5136,5136,5116,48068,"2006-06-27"
5160,5142,5160,5142,56326,"2006-06-28"
5198,5226,5230,5198,47768,"2006-06-29"
5218,5204,5218,5192,52324,"2006-06-30"
5218,5204,5218,5192,52324,"2006-07-03"
5218,5190,5218,5182,50168,"2006-07-04"
5182,5180,5208,5176,59722,"2006-07-05"
5194,5186,5200,5182,48534,"2006-07-06"
5226,5220,5232,5208,50800,"2006-07-07"
5300,5290,5308,5278,45572,"2006-07-10"
5210,5252,5258,5204,47006,"2006-07-11"
5234,5230,5244,5214,46180,"2006-07-12"
5228,5234,5238,5164,46680,"2006-07-13"
5218,5250,5250,5218,47172,"2006-07-14"
5218,5246,5250,5218,20898,"2006-07-17"
5218,5246,5250,5218,20898,"2006-07-18"
5238,5218,5246,5202,43762,"2006-07-19"
5220,5234,5236,5206,55138,"2006-07-20"
5226,5316,5322,5218,30160,"2006-07-21"
5302,5304,5350,5294,26390,"2006-07-24"
5310,5310,5328,5270,18540,"2006-07-25"
5410,5396,5412,5388,15426,"2006-07-26"
5400,5410,5424,5386,20838,"2006-07-27"
5416,5436,5452,5396,21142,"2006-07-28"
5500,5684,5688,5500,15494,"2006-07-31"
5584,5596,5626,5548,19128,"2006-08-01"
5594,5582,5654,5562,22322,"2006-08-02"
5580,5602,5626,5568,18076,"2006-08-03"
5572,5554,5596,5524,20882,"2006-08-04"
5540,5554,5600,5512,13762,"2006-08-07"
5544,5546,5574,5524,15400,"2006-08-08"
5550,5592,5598,5550,18354,"2006-08-09"
5602,5648,5654,5602,22462,"2006-08-10"
5672,5680,5712,5630,26250,"2006-08-11"
5570,5496,5578,5462,25906,"2006-08-14"
5578,5568,5578,5524,27504,"2006-08-15"
5520,5496,5532,5482,13890,"2006-08-16"
5550,5562,5572,5546,11920,"2006-08-17"
5490,5438,5490,5436,16980,"2006-08-18"
5530,5542,5552,5502,14850,"2006-08-21"
5564,5554,5574,5552,12274,"2006-08-22"
5568,5544,5568,5514,13414,"2006-08-23"
5549,5564,5568,5530,18876,"2006-08-24"
5522,5554,5554,5520,13718,"2006-08-25"
5552,5586,5604,5542,16046,"2006-08-28"
5480,5454,5480,5452,15218,"2006-08-29"
5480,5444,5480,5426,17526,"2006-08-30"
5534,5580,5580,5524,27598,"2006-08-31"
5600,5626,5630,5582,26142,"2006-09-01"
5600,5576,5600,5562,19684,"2006-09-04"
5566,5594,5614,5550,21284,"2006-09-05"
5500,5534,5548,5500,15966,"2006-09-06"
5590,5594,5600,5564,19206,"2006-09-07"
5510,5552,5580,5510,18076,"2006-09-08"
5604,5660,5680,5586,13914,"2006-09-11"
5570,5598,5614,5556,16354,"2006-09-12"
5650,5644,5672,5630,18294,"2006-09-13"
5676,5654,5680,5642,19034,"2006-09-14"
5600,5556,5606,5540,18274,"2006-09-15"
5630,5622,5630,5610,14940,"2006-09-18"
5620,5618,5642,5604,17724,"2006-09-19"
5516,5502,5544,5500,18662,"2006-09-20"
5558,5526,5560,5522,14358,"2006-09-21"
5538,5556,5560,5538,12942,"2006-09-22"
5500,5446,5514,5440,15560,"2006-09-25"
5460,5474,5494,5458,16070,"2006-09-26"
5486,5476,5486,5450,14768,"2006-09-27"
5486,5486,5496,5472,17148,"2006-09-28"
5508,5538,5540,5494,17536,"2006-09-29"
5520,5512,5550,5508,11158,"2006-10-09"
5562,5598,5600,5554,19344,"2006-10-10"
5550,5574,5578,5542,22886,"2006-10-11"
5580,5578,5588,5560,23330,"2006-10-12"
5602,5630,5634,5602,26936,"2006-10-13"
5636,5632,5658,5624,17908,"2006-10-16"
5608,5600,5614,5596,654,"2006-10-17"
5698,5688,5704,5660,20508,"2006-10-18"
5679,5742,5754,5679,23630,"2006-10-19"
5758,5814,5832,5758,23264,"2006-10-20"
5790,5798,5830,5772,17680,"2006-10-23"
5878,5864,5888,5838,12894,"2006-10-24"
5870,5892,5918,5826,16138,"2006-10-25"
5876,5890,5902,5870,12750,"2006-10-26"
5920,6038,6070,5920,22928,"2006-10-27"
6008,6164,6182,5992,42062,"2006-11-01"
6298,6250,6356,6236,17464,"2006-11-02"
6188,6234,6248,6172,13094,"2006-11-03"
6188,6228,6324,6172,102460,"2006-11-06"
6250,6252,6268,6228,9632,"2006-11-07"
6260,6268,6280,6256,7906,"2006-11-08"
6276,6242,6286,6232,27084,"2006-11-09"
6230,6258,6274,6204,27358,"2006-11-10"
6228,6260,6280,6228,29954,"2006-11-13"
6258,6294,6350,6258,55360,"2006-11-14"
6388,6480,6480,6388,51830,"2006-11-15"
6454,6506,6516,6438,54952,"2006-11-16"
6450,6488,6520,6450,44748,"2006-11-17"
6670,6746,6746,6660,27900,"2006-11-20"
6948,6788,6948,6770,100818,"2006-11-21"
6850,6778,6868,6728,86212,"2006-11-22"
6788,6606,6792,6590,77010,"2006-11-23"
6602,6662,6678,6560,76088,"2006-11-24"
6780,6830,6860,6722,62758,"2006-11-27"
6518,6696,6776,6518,49504,"2006-11-28"
6708,6590,6740,6560,52192,"2006-11-29"
6680,6736,6748,6650,62718,"2006-11-30"
6750,6668,6796,6640,79604,"2006-12-01"
6630,6678,6730,6612,60364,"2006-12-04"
6600,6652,6656,6572,46018,"2006-12-05"
6662,6658,6672,6650,35812,"2006-12-06"
6576,6564,6626,6512,76232,"2006-12-07"
