"OPEN","CLOSE","HIGH","LOW","VOLUME","Date"
3388,3370,3407,3364,125064,"2006-02-27"
3370,3363,3370,3310,96550,"2006-02-28"
3381,3354,3384,3352,68768,"2006-03-01"
3354,3436,3441,3354,121120,"2006-03-02"
3436,3505,3513,3436,112998,"2006-03-03"
3490,3467,3500,3449,160106,"2006-03-06"
3467,3436,3467,3426,103494,"2006-03-07"
3423,3396,3431,3380,138584,"2006-03-08"
3396,3397,3399,3350,123696,"2006-03-09"
3408,3380,3414,3377,121574,"2006-03-10"
3380,3409,3410,3364,121826,"2006-03-13"
3409,3417,3439,3408,97206,"2006-03-14"
3417,3446,3464,3417,123052,"2006-03-15"
3446,3427,3446,3413,87778,"2006-03-16"
3427,3465,3478,3427,97684,"2006-03-17"
3461,3515,3526,3461,126560,"2006-03-20"
3450,3424,3456,3419,114364,"2006-03-21"
3440,3441,3449,3430,75776,"2006-03-22"
3449,3475,3481,3439,93674,"2006-03-23"
3475,3495,3518,3475,95802,"2006-03-24"
3495,3501,3527,3495,109548,"2006-03-27"
3512,3485,3513,3477,88664,"2006-03-28"
3485,3516,3537,3485,132424,"2006-03-29"
3516,3520,3533,3512,94866,"2006-03-30"
3520,3518,3552,3517,109368,"2006-03-31"
3518,3530,3536,3500,90682,"2006-04-03"
3530,3548,3556,3515,149646,"2006-04-04"
3548,3502,3550,3494,122054,"2006-04-05"
3502,3551,3561,3502,92742,"2006-04-06"
3551,3541,3566,3533,90382,"2006-04-07"
3541,3578,3578,3541,93388,"2006-04-10"
3578,3679,3680,3578,211036,"2006-04-11"
3679,3681,3704,3647,201646,"2006-04-12"
3661,3659,3673,3645,133920,"2006-04-13"
3706,3729,3729,3692,150826,"2006-04-14"
3719,3709,3719,3696,152216,"2006-04-19"
3741,3750,3766,3740,177346,"2006-04-20"
3750,3691,3750,3665,174652,"2006-04-21"
3691,3780,3806,3691,155458,"2006-04-24"
3780,3722,3780,3699,126998,"2006-04-25"
3722,3722,3734,3689,177774,"2006-04-26"
3722,3682,3722,3659,136814,"2006-04-27"
3636,3666,3667,3627,77658,"2006-04-28"
3665,3694,3698,3648,105008,"2006-05-08"
3675,3677,3700,3668,102964,"2006-05-09"
3677,3702,3719,3677,97444,"2006-05-10"
3703,3824,3829,3703,160124,"2006-05-11"
3829,3777,3832,3766,156784,"2006-05-12"
3777,3734,3783,3727,110348,"2006-05-15"
3734,3592,3734,3564,194852,"2006-05-16"
3623,3616,3627,3600,90742,"2006-05-17"
3575,3559,3575,3538,96106,"2006-05-18"
3559,3597,3606,3559,56168,"2006-05-19"
3597,3536,3597,3522,113476,"2006-05-22"
3536,3638,3639,3536,72116,"2006-05-23"
3787,3697,3787,3694,166884,"2006-05-24"
3698,3664,3698,3614,125344,"2006-05-25"
3664,3699,3730,3664,120152,"2006-05-26"
3699,3698,3711,3690,72484,"2006-05-29"
3720,3672,3724,3657,68582,"2006-05-30"
3694,3667,3707,3666,62732,"2006-05-31"
3667,3614,3667,3576,131240,"2006-06-01"
3634,3627,3640,3593,69302,"2006-06-02"
3628,3713,3716,3628,93556,"2006-06-05"
3726,3710,3735,3707,37518,"2006-06-06"
3691,3659,3691,3649,54820,"2006-06-07"
3659,3585,3659,3578,70632,"2006-06-08"
3580,3552,3616,3543,102772,"2006-06-09"
3589,3581,3592,3565,67462,"2006-06-12"
3560,3491,3569,3468,88562,"2006-06-13"
3355,3321,3355,3321,74518,"2006-06-14"
3368,3450,3458,3335,138852,"2006-06-15"
3434,3437,3460,3409,99246,"2006-06-16"
3437,3339,3437,3337,102438,"2006-06-19"
3339,3368,3374,3282,127964,"2006-06-20"
3381,3380,3396,3335,152964,"2006-06-21"
3380,3428,3472,3380,152552,"2006-06-22"
3445,3382,3446,3377,122114,"2006-06-23"
3379,3381,3410,3376,92422,"2006-06-26"
3381,3453,3457,3381,115910,"2006-06-27"
3457,3441,3459,3435,79248,"2006-06-28"
3441,3446,3464,3441,51750,"2006-06-29"
3446,3551,3558,3446,113132,"2006-06-30"
3446,3551,3558,3446,113132,"2006-07-03"
3446,3518,3558,3512,36908,"2006-07-04"
2585,2577,2597,2568,23082,"2006-07-05"
3507,3559,3569,3507,62762,"2006-07-06"
3559,3606,3611,3559,66800,"2006-07-07"
3606,3539,3606,3519,69396,"2006-07-10"
3527,3532,3541,3513,62856,"2006-07-11"
3532,3563,3569,3532,41248,"2006-07-12"
3563,3614,3621,3563,89538,"2006-07-13"
3615,3747,3752,3615,123204,"2006-07-14"
3615,3755,3756,3615,40698,"2006-07-17"
3615,3755,3756,3615,40698,"2006-07-18"
3696,3653,3696,3609,143976,"2006-07-19"
3680,3695,3707,3673,92002,"2006-07-20"
3651,3657,3673,3640,85738,"2006-07-21"
3657,3599,3657,3599,62710,"2006-07-24"
3599,3650,3667,3599,108092,"2006-07-25"
3620,3579,3620,3577,102582,"2006-07-26"
3597,3614,3615,3575,83238,"2006-07-27"
3630,3648,3654,3625,79048,"2006-07-28"
2380,2421,2425,2372,35182,"2006-07-31"
3631,3632,3652,3630,59732,"2006-08-01"
3672,3673,3681,3668,59258,"2006-08-02"
3673,3657,3695,3653,50342,"2006-08-03"
2580,2605,2608,2578,45978,"2006-08-04"
3621,3683,3696,3621,75208,"2006-08-07"
3683,3683,3683,3683,75208,"2006-08-08"
3683,3671,3683,3662,32160,"2006-08-09"
3671,3681,3688,3660,45928,"2006-08-10"
3683,3625,3683,3607,49106,"2006-08-11"
3625,3536,3625,3536,70898,"2006-08-14"
2520,2526,2530,2512,29908,"2006-08-15"
3516,3525,3530,3515,58154,"2006-08-16"
3525,3450,3525,3442,66942,"2006-08-17"
3441,3479,3481,3439,41552,"2006-08-18"
3502,3540,3542,3501,51550,"2006-08-21"
3554,3523,3563,3514,69192,"2006-08-22"
3514,3475,3520,3470,55920,"2006-08-23"
3450,3429,3461,3393,95682,"2006-08-24"
3429,3442,3455,3428,73906,"2006-08-25"
3401,3364,3408,3363,76628,"2006-08-28"
3304,3310,3338,3299,78260,"2006-08-29"
2532,2532,2535,2518,11936,"2006-08-30"
2537,2555,2555,2536,10832,"2006-08-31"
2553,2559,2559,2550,12516,"2006-09-01"
3320,3233,3326,3230,13860,"2006-09-04"
3201,3168,3224,3160,18152,"2006-09-05"
3199,3110,3208,3098,25504,"2006-09-06"
3050,3083,3088,2988,39486,"2006-09-07"
3045,3047,3092,3012,39314,"2006-09-08"
2990,3013,3030,2952,36610,"2006-09-11"
3029,3100,3100,3026,48532,"2006-09-12"
2999,2986,2999,2930,63640,"2006-09-13"
3046,3077,3085,3031,71314,"2006-09-14"
2998,3050,3058,2980,106448,"2006-09-15"
