"OPEN","CLOSE","HIGH","LOW","VOLUME","Date"
1481,1475,1492,1469,587394,"2006-02-23"
1481,1484,1489,1475,290298,"2006-02-24"
1495,1476,1496,1473,273644,"2006-02-27"
1480,1467,1482,1466,240332,"2006-02-28"
1471,1460,1471,1459,224656,"2006-03-01"
1453,1465,1465,1452,193088,"2006-03-02"
1476,1474,1478,1470,207122,"2006-03-03"
1463,1461,1468,1460,148006,"2006-03-06"
1452,1455,1461,1452,163466,"2006-03-07"
1452,1433,1453,1430,266026,"2006-03-08"
1429,1441,1441,1424,176640,"2006-03-09"
1445,1429,1445,1428,146926,"2006-03-10"
1446,1448,1454,1444,140738,"2006-03-13"
1420,1414,1425,1405,197620,"2006-03-14"
1440,1441,1445,1438,130872,"2006-03-15"
1412,1406,1414,1400,177786,"2006-03-16"
1410,1407,1412,1398,207934,"2006-03-17"
1401,1420,1420,1401,175928,"2006-03-20"
1401,1413,1416,1401,134988,"2006-03-21"
1425,1435,1438,1424,161180,"2006-03-22"
1429,1432,1435,1424,148702,"2006-03-23"
1424,1425,1432,1422,121860,"2006-03-24"
1432,1442,1444,1430,175336,"2006-03-27"
1443,1427,1445,1424,173402,"2006-03-28"
1428,1426,1433,1419,177286,"2006-03-29"
1413,1415,1417,1410,139584,"2006-03-30"
1435,1437,1443,1435,178878,"2006-03-31"
1449,1433,1452,1433,176432,"2006-04-03"
1430,1431,1438,1426,138112,"2006-04-04"
1427,1437,1442,1421,229810,"2006-04-05"
1440,1448,1448,1437,223478,"2006-04-06"
1453,1440,1453,1438,225160,"2006-04-07"
1440,1434,1443,1429,178314,"2006-04-10"
1431,1413,1434,1408,336300,"2006-04-11"
1388,1385,1394,1380,175378,"2006-04-12"
1399,1382,1403,1381,269200,"2006-04-13"
1385,1383,1388,1376,199844,"2006-04-14"
1410,1410,1411,1407,175408,"2006-04-19"
1379,1374,1379,1374,176756,"2006-04-20"
1398,1385,1398,1382,187856,"2006-04-21"
1396,1406,1412,1395,238114,"2006-04-24"
1394,1404,1404,1388,192172,"2006-04-25"
1406,1408,1411,1402,186872,"2006-04-26"
1406,1426,1431,1405,307296,"2006-04-27"
1425,1447,1448,1419,282226,"2006-04-28"
1450,1445,1453,1438,308982,"2006-05-08"
1446,1474,1475,1442,413478,"2006-05-09"
1475,1468,1485,1465,393640,"2006-05-10"
1466,1476,1482,1462,331264,"2006-05-11"
1485,1473,1490,1463,315400,"2006-05-12"
1509,1512,1518,1500,348378,"2006-05-15"
1471,1457,1478,1448,343290,"2006-05-16"
1493,1504,1507,1491,300508,"2006-05-17"
1502,1506,1515,1492,463348,"2006-05-18"
1497,1504,1507,1495,295226,"2006-05-19"
1488,1487,1499,1483,389132,"2006-05-22"
1497,1504,1505,1496,236922,"2006-05-23"
1508,1521,1525,1507,587642,"2006-05-24"
1514,1516,1521,1509,317792,"2006-05-25"
1529,1540,1541,1528,393644,"2006-05-26"
1536,1545,1547,1532,414884,"2006-05-29"
1547,1547,1554,1535,481356,"2006-05-30"
1545,1526,1545,1526,368168,"2006-05-31"
1520,1497,1522,1481,705310,"2006-06-01"
1515,1515,1519,1497,390444,"2006-06-02"
1530,1529,1538,1527,272454,"2006-06-05"
1514,1517,1519,1510,240324,"2006-06-06"
1502,1512,1513,1498,177930,"2006-06-07"
1519,1505,1522,1503,177080,"2006-06-08"
1494,1502,1503,1490,194914,"2006-06-09"
1513,1511,1517,1504,162944,"2006-06-12"
1507,1491,1509,1489,299760,"2006-06-13"
1485,1476,1485,1464,574636,"2006-06-14"
1462,1480,1485,1462,304840,"2006-06-15"
1480,1477,1485,1469,300098,"2006-06-16"
1471,1465,1475,1465,250190,"2006-06-19"
1455,1469,1471,1451,249048,"2006-06-20"
1469,1478,1484,1465,238602,"2006-06-21"
1483,1480,1486,1478,189400,"2006-06-22"
1475,1473,1476,1469,134980,"2006-06-23"
1467,1467,1475,1462,119520,"2006-06-26"
1463,1476,1476,1461,134960,"2006-06-27"
1475,1467,1476,1467,89060,"2006-06-28"
1471,1473,1475,1468,99304,"2006-06-29"
1479,1476,1480,1474,91884,"2006-06-30"
1479,1476,1480,1474,91884,"2006-07-03"
1479,1470,1480,1465,187890,"2006-07-04"
1471,1461,1474,1456,241676,"2006-07-05"
1500,1492,1503,1491,151754,"2006-07-06"
1462,1445,1463,1442,269922,"2006-07-07"
1443,1427,1446,1421,277124,"2006-07-10"
1469,1478,1480,1458,294432,"2006-07-11"
1473,1470,1477,1466,194710,"2006-07-12"
1465,1463,1468,1461,127372,"2006-07-13"
1460,1461,1462,1453,151840,"2006-07-14"
1460,1470,1470,1453,132498,"2006-07-17"
1460,1470,1470,1453,132498,"2006-07-18"
1462,1462,1466,1458,148572,"2006-07-19"
1464,1461,1467,1461,129156,"2006-07-20"
1458,1435,1459,1431,304482,"2006-07-21"
1431,1422,1433,1411,326012,"2006-07-24"
1430,1420,1434,1418,159356,"2006-07-25"
1417,1410,1422,1404,287498,"2006-07-26"
1405,1411,1413,1404,182408,"2006-07-27"
1413,1417,1420,1410,176276,"2006-07-28"
1420,1428,1428,1415,213940,"2006-07-31"
1423,1411,1427,1411,142606,"2006-08-01"
1415,1410,1417,1409,157828,"2006-08-02"
1415,1403,1416,1396,297726,"2006-08-03"
1403,1410,1410,1399,208290,"2006-08-04"
1402,1394,1408,1392,207750,"2006-08-07"
1385,1386,1391,1382,228700,"2006-08-08"
1383,1386,1391,1383,142936,"2006-08-09"
1390,1391,1392,1378,297688,"2006-08-10"
1388,1397,1397,1387,259258,"2006-08-11"
1376,1385,1388,1375,248106,"2006-08-14"
1387,1397,1399,1387,218028,"2006-08-15"
1400,1400,1405,1395,307322,"2006-08-16"
1396,1418,1419,1393,371188,"2006-08-17"
1415,1421,1429,1414,481060,"2006-08-18"
1418,1418,1427,1415,346738,"2006-08-21"
1420,1421,1426,1406,482762,"2006-08-22"
1423,1421,1428,1417,440260,"2006-08-23"
1427,1416,1428,1415,362350,"2006-08-24"
1418,1416,1419,1412,206900,"2006-08-25"
1413,1410,1417,1409,161962,"2006-08-28"
1406,1403,1410,1397,648898,"2006-08-29"
1406,1388,1410,1388,319732,"2006-08-30"
1393,1400,1401,1388,344904,"2006-08-31"
1400,1401,1407,1398,279760,"2006-09-01"
1398,1395,1401,1392,257920,"2006-09-04"
1398,1403,1405,1396,187358,"2006-09-05"
1401,1416,1417,1401,288220,"2006-09-06"
1411,1411,1415,1406,305762,"2006-09-07"
1418,1423,1426,1416,291920,"2006-09-08"
1421,1412,1425,1408,303578,"2006-09-11"
1409,1408,1411,1403,181854,"2006-09-12"
1399,1407,1410,1396,209064,"2006-09-13"
1410,1416,1419,1407,243826,"2006-09-14"
1413,1411,1422,1409,296460,"2006-09-15"
1417,1415,1421,1414,137216,"2006-09-18"
1419,1409,1421,1407,296952,"2006-09-19"
1405,1404,1411,1401,179594,"2006-09-20"
1407,1398,1407,1395,199196,"2006-09-21"
1407,1405,1408,1398,226590,"2006-09-22"
1400,1394,1400,1392,205096,"2006-09-25"
1395,1399,1400,1395,87406,"2006-09-26"
1401,1403,1405,1395,125666,"2006-09-27"
1399,1402,1404,1398,88056,"2006-09-28"
1408,1408,1410,1403,126396,"2006-09-29"
1411,1417,1418,1411,168870,"2006-10-09"
1428,1458,1461,1425,535082,"2006-10-10"
1440,1447,1450,1436,384090,"2006-10-11"
1458,1454,1468,1451,446354,"2006-10-12"
1475,1477,1483,1471,522964,"2006-10-13"
1486,1482,1493,1477,474852,"2006-10-16"
1487,1477,1487,1474,58474,"2006-10-17"
1478,1462,1481,1458,339784,"2006-10-18"
1461,1473,1474,1455,241894,"2006-10-19"
1469,1469,1472,1463,175356,"2006-10-20"
1463,1463,1470,1460,175002,"2006-10-23"
1474,1475,1480,1473,201734,"2006-10-24"
1484,1468,1486,1466,295892,"2006-10-25"
1465,1468,1469,1460,153926,"2006-10-26"
1472,1484,1490,1470,367120,"2006-10-27"
1479,1471,1490,1471,328560,"2006-10-31"
1468,1472,1474,1465,153746,"2006-11-01"
1492,1485,1497,1485,126238,"2006-11-02"
1488,1487,1492,1484,80900,"2006-11-03"
1488,1489,1501,1484,529886,"2006-11-06"
1501,1511,1513,1501,161712,"2006-11-07"
1520,1521,1522,1516,149806,"2006-11-08"
1530,1521,1531,1516,530534,"2006-11-09"
1506,1516,1517,1503,423450,"2006-11-10"
1515,1557,1562,1513,1133670,"2006-11-13"
1551,1554,1567,1548,1065000,"2006-11-14"
1578,1577,1585,1570,836310,"2006-11-15"
1573,1585,1589,1573,563600,"2006-11-16"
1572,1579,1586,1570,359230,"2006-11-17"
1595,1607,1607,1593,557676,"2006-11-20"
1717,1697,1723,1697,624734,"2006-11-21"
1710,1710,1717,1673,814532,"2006-11-22"
1712,1680,1712,1679,586786,"2006-11-23"
1688,1690,1702,1682,511086,"2006-11-24"
1717,1736,1754,1712,803744,"2006-11-27"
1729,1727,1732,1720,458776,"2006-11-28"
1733,1677,1742,1662,1278052,"2006-11-29"
1695,1697,1701,1668,736172,"2006-11-30"
1704,1687,1705,1676,662024,"2006-12-01"
1576,1572,1587,1564,550318,"2006-12-04"
1650,1659,1662,1640,464200,"2006-12-05"
1664,1655,1666,1653,294936,"2006-12-06"
1638,1662,1665,1635,470030,"2006-12-07"
1670,1666,1675,1663,449602,"2006-12-08"
1666,1694,1694,1665,481546,"2006-12-11"
1695,1713,1721,1695,810080,"2006-12-12"
1713,1696,1716,1690,596638,"2006-12-13"
1696,1698,1705,1689,526022,"2006-12-14"
1705,1704,1709,1695,296662,"2006-12-15"
1697,1696,1699,1683,323388,"2006-12-18"
1686,1696,1697,1684,474050,"2006-12-19"
1709,1704,1713,1704,370212,"2006-12-20"
1704,1731,1734,1699,636666,"2006-12-21"
1736,1730,1746,1727,1008694,"2006-12-22"
1738,1741,1745,1730,554604,"2006-12-25"
1745,1751,1758,1740,813096,"2006-12-26"
1750,1723,1752,1716,794752,"2006-12-27"
1724,1735,1737,1720,381054,"2006-12-28"
1732,1728,1733,1718,332722,"2006-12-29"
1678,1673,1687,1666,520662,"2007-01-04"
1671,1687,1688,1670,455040,"2007-01-05"
1694,1687,1694,1675,374376,"2007-01-08"
1677,1665,1680,1661,564522,"2007-01-09"
1659,1677,1678,1656,449392,"2007-01-10"
1685,1696,1705,1683,656490,"2007-01-11"
1710,1698,1715,1694,567028,"2007-01-12"
1771,1771,1771,1763,412078,"2007-01-15"
1795,1760,1795,1755,825450,"2007-01-16"
1748,1752,1760,1742,515686,"2007-01-17"
1761,1749,1769,1746,712394,"2007-01-18"
1741,1727,1745,1722,668650,"2007-01-19"
1710,1718,1721,1702,450902,"2007-01-22"
1725,1724,1727,1719,321568,"2007-01-23"
1730,1705,1730,1701,724916,"2007-01-24"
1709,1707,1715,1699,648524,"2007-01-25"
1710,1702,1712,1696,729750,"2007-01-26"
1706,1709,1713,1703,373856,"2007-01-29"
1701,1701,1706,1694,570304,"2007-01-30"
1710,1715,1715,1705,389038,"2007-01-31"
1711,1721,1723,1709,422702,"2007-02-01"
1707,1711,1715,1705,359382,"2007-02-02"
1726,1714,1726,1713,219524,"2007-02-05"
1710,1717,1718,1708,201030,"2007-02-06"
1712,1717,1718,1710,249392,"2007-02-07"
1711,1708,1714,1705,245628,"2007-02-08"
1715,1713,1716,1711,143754,"2007-02-09"
1718,1709,1719,1709,143734,"2007-02-12"
1706,1698,1709,1694,301404,"2007-02-13"
1706,1695,1709,1694,192612,"2007-02-14"
1693,1700,1701,1685,238266,"2007-02-15"
1698,1703,1705,1695,135382,"2007-02-16"
1722,1730,1744,1714,713330,"2007-02-26"
1720,1715,1726,1715,334836,"2007-02-27"
1699,1708,1710,1692,561630,"2007-02-28"
1717,1704,1721,1703,466684,"2007-03-01"
1698,1705,1707,1694,289524,"2007-03-02"
1697,1700,1708,1697,279182,"2007-03-05"
1709,1706,1709,1704,185060,"2007-03-06"
1701,1700,1706,1698,179836,"2007-03-07"
1703,1699,1703,1693,374720,"2007-03-08"
1696,1685,1698,1681,561354,"2007-03-09"
1682,1686,1687,1679,333526,"2007-03-12"
1687,1695,1696,1686,462416,"2007-03-13"
1691,1692,1695,1686,323032,"2007-03-14"
1697,1696,1698,1693,196104,"2007-03-15"
1687,1695,1695,1687,191084,"2007-03-16"
1698,1695,1699,1694,140210,"2007-03-19"
1695,1694,1697,1691,130662,"2007-03-20"
1700,1694,1700,1692,115340,"2007-03-21"
1695,1690,1695,1687,196050,"2007-03-22"
1690,1689,1692,1688,91784,"2007-03-23"
1687,1682,1689,1679,217916,"2007-03-26"
1672,1684,1684,1671,194996,"2007-03-27"
1684,1687,1689,1683,122798,"2007-03-28"
1686,1683,1687,1682,69208,"2007-03-29"
1685,1690,1691,1684,151432,"2007-03-30"
1630,1663,1665,1630,613548,"2007-04-02"
1668,1669,1671,1665,218054,"2007-04-03"
1665,1673,1673,1664,173002,"2007-04-04"
