"OPEN","CLOSE","HIGH","LOW","VOLUME","Date"
2349,2364,2372,2344,384110,"2006-02-24"
2332,2319,2344,2318,324060,"2006-02-27"
2340,2335,2347,2332,204086,"2006-02-28"
2340,2334,2351,2333,249828,"2006-03-01"
2328,2336,2338,2320,184008,"2006-03-02"
2366,2366,2375,2361,239888,"2006-03-03"
2350,2331,2350,2330,180438,"2006-03-06"
2339,2338,2362,2336,331824,"2006-03-07"
2319,2325,2327,2306,343000,"2006-03-08"
2315,2339,2340,2313,279692,"2006-03-09"
2331,2315,2334,2314,249088,"2006-03-10"
2315,2320,2327,2310,171880,"2006-03-13"
2310,2296,2316,2288,325748,"2006-03-14"
2311,2305,2317,2301,228852,"2006-03-15"
2297,2285,2298,2276,299288,"2006-03-16"
2260,2249,2265,2249,200216,"2006-03-17"
2254,2289,2290,2254,332888,"2006-03-20"
2266,2270,2274,2257,236398,"2006-03-21"
2272,2285,2296,2271,294050,"2006-03-22"
2270,2275,2281,2270,154390,"2006-03-23"
2281,2288,2290,2281,190608,"2006-03-24"
2280,2306,2319,2279,394270,"2006-03-27"
2308,2290,2310,2289,284382,"2006-03-28"
2300,2298,2305,2292,213420,"2006-03-29"
2300,2295,2303,2287,149816,"2006-03-30"
2307,2310,2318,2306,202210,"2006-03-31"
2260,2266,2270,2255,205822,"2006-04-03"
2250,2237,2253,2234,194216,"2006-04-04"
2226,2233,2238,2220,177984,"2006-04-05"
2240,2232,2244,2232,120506,"2006-04-06"
2228,2205,2229,2199,241918,"2006-04-07"
2191,2183,2196,2181,138932,"2006-04-10"
2175,2190,2203,2170,230526,"2006-04-11"
2204,2198,2210,2193,151826,"2006-04-12"
2188,2184,2194,2182,86364,"2006-04-13"
2191,2194,2196,2188,69702,"2006-04-14"
2090,2106,2107,2090,1076,"2006-04-17"
2100,2095,2104,2080,610,"2006-04-18"
2218,2214,2220,2213,110648,"2006-04-19"
2253,2258,2269,2252,71764,"2006-04-20"
2242,2222,2246,2219,119164,"2006-04-21"
2205,2203,2219,2200,167512,"2006-04-24"
2200,2201,2206,2194,84972,"2006-04-25"
