"","V1","V2","Rsqure","V4","formula","kurtosis","skewness","period"
"30","SR888","v9888","3.08357421279385e-05","0.00355437699044771","SR888* (-1)+v9888*(0.00355437699044771)",0.33578280440795,0.99361968561313,"2015-01-01T2015-12-31"
"35","l9888","v9888","0.837580852862976","1.72962642670835","l9888* (-1)+v9888*(1.72962642670835)",-0.388481236006653,0.250507609747099,"2015-01-01T2015-12-31"
"26","c9888","v9888","0.616659108842475","0.569734333408442","c9888* (-1)+v9888*(0.569734333408442)",-0.569050187637604,-0.446509587144941,"2015-01-01T2015-12-31"
"31","TA888","l9888","0.594439737166025","0.297244317064036","TA888* (-1)+l9888*(0.297244317064036)",0.177044763163373,0.146178512629555,"2015-01-01T2015-12-31"
"14","y9888","p9888","0.573374782328989","0.393715618108355","y9888* (-1)+p9888*(0.393715618108355)",-0.958754863252171,0.0849843920168275,"2015-01-01T2015-12-31"
"33","TA888","v9888","0.566509656345557","0.548406058159642","TA888* (-1)+v9888*(0.548406058159642)",-0.37029296256881,-0.0553152090761778,"2015-01-01T2015-12-31"
"24","c9888","l9888","0.563481089214095","0.28817118155568","c9888* (-1)+l9888*(0.28817118155568)",-0.540512506577644,-0.368955129475619,"2015-01-01T2015-12-31"
"25","c9888","p9888","0.518827594721778","0.695925334038748","c9888* (-1)+p9888*(0.695925334038748)",-0.71474256378663,-0.0914565518530875,"2015-01-01T2015-12-31"
"2","a9888","m9888","0.485887260589374","1.13530980918687","a9888* (-1)+m9888*(1.13530980918687)",-0.732316636963636,-0.42806808195531,"2015-01-01T2015-12-31"
"36","p9888","v9888","0.435205263763679","0.495388331389668","p9888* (-1)+v9888*(0.495388331389668)",-1.0489424784461,0.211339446339141,"2015-01-01T2015-12-31"
"3","a9888","c9888","0.428525563295146","0.537019615393328","a9888* (-1)+c9888*(0.537019615393328)",-0.907037167549462,0.183010313838373,"2015-01-01T2015-12-31"
"8","a9888","v9888","0.377026747363926","0.365458173152918","a9888* (-1)+v9888*(0.365458173152918)",-0.103967152153801,-0.221250345085344,"2015-01-01T2015-12-31"
"34","l9888","p9888","0.356934376435655","1.50360730578973","l9888* (-1)+p9888*(1.50360730578973)",0.000310420978970161,0.547939435179868,"2015-01-01T2015-12-31"
