"","V1","V2","Rsqure","V4","formula","period"
"14","y9888","p9888","0.916031514483628","0.899137899865939","index.data$y9888* (-1)+index.data$p9888*(0.899137899865939)","20140101T20151231"
"35","l9888","v9888","0.846358546078628","2.22254628500725","index.data$l9888* (-1)+index.data$v9888*(2.22254628500725)","20140101T20151231"
"31","TA888","l9888","0.841535296397128","0.725642310113019","index.data$TA888* (-1)+index.data$l9888*(0.725642310113019)","20140101T20151231"
"9","y9888","m9888","0.792736229800824","1.25762380115635","index.data$y9888* (-1)+index.data$m9888*(1.25762380115635)","20140101T20151231"
"33","TA888","v9888","0.750233971956562","1.65523024823106","index.data$TA888* (-1)+index.data$v9888*(1.65523024823106)","20140101T20151231"
"20","m9888","p9888","0.743764378043818","0.573591080360114","index.data$m9888* (-1)+index.data$p9888*(0.573591080360114)","20140101T20151231"
"36","p9888","v9888","0.733694348773499","0.99753303263346","index.data$p9888* (-1)+index.data$v9888*(0.99753303263346)","20140101T20151231"
"19","m9888","l9888","0.731346052764163","0.274184083235562","index.data$m9888* (-1)+index.data$l9888*(0.274184083235562)","20140101T20151231"
"12","y9888","TA888","0.726694495056759","0.48804141712071","index.data$y9888* (-1)+index.data$TA888*(0.48804141712071)","20140101T20151231"
"32","TA888","p9888","0.704096682203484","1.37691300275475","index.data$TA888* (-1)+index.data$p9888*(1.37691300275475)","20140101T20151231"
"18","m9888","TA888","0.702092452641225","0.33961862710377","index.data$m9888* (-1)+index.data$TA888*(0.33961862710377)","20140101T20151231"
"34","l9888","p9888","0.690372242901345","1.72363611033567","index.data$l9888* (-1)+index.data$p9888*(1.72363611033567)","20140101T20151231"
"21","m9888","v9888","0.672494818393193","0.635183008892021","index.data$m9888* (-1)+index.data$v9888*(0.635183008892021)","20140101T20151231"
"13","y9888","l9888","0.668082475717805","0.370153801115604","index.data$y9888* (-1)+index.data$l9888*(0.370153801115604)","20140101T20151231"
"15","y9888","v9888","0.628793734087095","0.867550767331103","index.data$y9888* (-1)+index.data$v9888*(0.867550767331103)","20140101T20151231"
"4","a9888","SR888","0.57488978610455","-0.463504269861637","index.data$a9888* (-1)+index.data$SR888*(-0.463504269861637)","20140101T20151231"
