"","V1","V2","V3","Rsqure","V5","V6","formula","period"
"84","l9888","p9888","v9888","0.837651455195506","-0.0281387268137033","1.74356602363202","l9888* (-1)+p9888*(-0.0281387268137033)+v9888*(1.74356602363202)","2015-01-01T2015-12-31"
"66","c9888","SR888","l9888","0.760369400906632","-0.505203972621758","0.304321512655465","c9888* (-1)+SR888*(-0.505203972621758)+l9888*(0.304321512655465)","2015-01-01T2015-12-31"
"68","c9888","SR888","v9888","0.757474376581896","-0.425348689085983","0.571246183001846","c9888* (-1)+SR888*(-0.425348689085983)+v9888*(0.571246183001846)","2015-01-01T2015-12-31"
"38","y9888","c9888","p9888","0.706240718905585","-0.282793032915498","0.590518454003904","y9888* (-1)+c9888*(-0.282793032915498)+p9888*(0.590518454003904)","2015-01-01T2015-12-31"
"42","y9888","SR888","p9888","0.690161088770183","0.209225170086482","0.408958878200723","y9888* (-1)+SR888*(0.209225170086482)+p9888*(0.408958878200723)","2015-01-01T2015-12-31"
"74","c9888","p9888","v9888","0.689083263169769","0.345977223697161","0.398341253862276","c9888* (-1)+p9888*(0.345977223697161)+v9888*(0.398341253862276)","2015-01-01T2015-12-31"
"72","c9888","l9888","p9888","0.678383190850333","0.191222612781058","0.408401616428947","c9888* (-1)+l9888*(0.191222612781058)+p9888*(0.408401616428947)","2015-01-01T2015-12-31"
"22","a9888","SR888","v9888","0.675797235366267","-0.508265762767746","0.367264741285131","a9888* (-1)+SR888*(-0.508265762767746)+v9888*(0.367264741285131)","2015-01-01T2015-12-31"
"33","y9888","m9888","p9888","0.675791683499934","-0.353753083468811","0.437841801455777","y9888* (-1)+m9888*(-0.353753083468811)+p9888*(0.437841801455777)","2015-01-01T2015-12-31"
"65","c9888","SR888","TA888","0.638273448084573","-0.632544645635455","0.728839013084225","c9888* (-1)+SR888*(-0.632544645635455)+TA888*(0.728839013084225)","2015-01-01T2015-12-31"
