"","V1","V2","V3","Rsqure","V5","V6","formula","period"
"38","y9888","c9888","p9888","0.956809024007905","-0.598468394246953","1.01064326972122","index.data$y9888* (-1)+index.data$c9888*(-0.598468394246953)+index.data$p9888*(1.01064326972122)","20140101T20151231"
"33","y9888","m9888","p9888","0.932490496348371","0.357987716615065","0.693799338737053","index.data$y9888* (-1)+index.data$m9888*(0.357987716615065)+index.data$p9888*(0.693799338737053)","20140101T20151231"
"45","y9888","TA888","p9888","0.924265510612082","0.0955017118400941","0.767640351047976","index.data$y9888* (-1)+index.data$TA888*(0.0955017118400941)+index.data$p9888*(0.767640351047976)","20140101T20151231"
"42","y9888","SR888","p9888","0.920570731975231","0.115708128308955","0.946081210219147","index.data$y9888* (-1)+index.data$SR888*(0.115708128308955)+index.data$p9888*(0.946081210219147)","20140101T20151231"
"49","y9888","p9888","v9888","0.918737441070931","0.980252026643379","-0.110283009551561","index.data$y9888* (-1)+index.data$p9888*(0.980252026643379)+index.data$v9888*(-0.110283009551561)","20140101T20151231"
"47","y9888","l9888","p9888","0.917612580197704","0.0323610191585941","0.843359278676921","index.data$y9888* (-1)+index.data$l9888*(0.0323610191585941)+index.data$p9888*(0.843359278676921)","20140101T20151231"
"81","TA888","l9888","p9888","0.860628976625443","0.562429978484225","0.407488382304024","index.data$TA888* (-1)+index.data$l9888*(0.562429978484225)+index.data$p9888*(0.407488382304024)","20140101T20151231"
"84","l9888","p9888","v9888","0.85326006255206","0.333953497559745","1.88941663982793","index.data$l9888* (-1)+index.data$p9888*(0.333953497559745)+index.data$v9888*(1.88941663982793)","20140101T20151231"
"82","TA888","l9888","v9888","0.844747939480162","0.620412046952862","0.276335758102235","index.data$TA888* (-1)+index.data$l9888*(0.620412046952862)+index.data$v9888*(0.276335758102235)","20140101T20151231"
"31","y9888","m9888","TA888","0.830755551964279","0.834814065702887","0.204523010239779","index.data$y9888* (-1)+index.data$m9888*(0.834814065702887)+index.data$TA888*(0.204523010239779)","20140101T20151231"
"62","m9888","l9888","p9888","0.805821291114356","0.14353437406308","0.32619005015056","index.data$m9888* (-1)+index.data$l9888*(0.14353437406308)+index.data$p9888*(0.32619005015056)","20140101T20151231"
"34","y9888","m9888","v9888","0.80478621650098","1.0354386343766","0.209857740024727","index.data$y9888* (-1)+index.data$m9888*(1.0354386343766)+index.data$v9888*(0.209857740024727)","20140101T20151231"
"32","y9888","m9888","l9888","0.804384419445671","1.00609920584788","0.0942974127161743","index.data$y9888* (-1)+index.data$m9888*(1.00609920584788)+index.data$l9888*(0.0942974127161743)","20140101T20151231"
